job_name,dataset,shuffle_partitions,executor_memory,executor_cores,default_parallelism,memory_fraction,execution_time_sec,timestamp
join,txn_1m.csv,64,2g,4,32,0.6,7.461,2026-03-14 16:38:00
join,txn_1m.csv,64,2g,4,32,0.8,7.794,2026-03-14 16:38:21
join,txn_1m.csv,64,3g,2,8,0.6,6.425,2026-03-14 16:38:41
join,txn_1m.csv,64,3g,2,8,0.8,6.031,2026-03-14 16:39:00
join,txn_1m.csv,64,3g,2,32,0.6,7.602,2026-03-14 16:39:20
join,txn_1m.csv,64,3g,2,32,0.8,7.596,2026-03-14 16:39:41
join,txn_1m.csv,64,3g,4,8,0.6,6.089,2026-03-14 16:40:00
join,txn_1m.csv,64,3g,4,8,0.8,6.211,2026-03-14 16:40:19
join,txn_1m.csv,64,3g,4,32,0.6,7.594,2026-03-14 16:40:40
join,txn_1m.csv,64,3g,4,32,0.8,7.575,2026-03-14 16:41:01
join,txn_5m.csv,4,2g,2,8,0.6,10.467,2026-03-14 16:41:27
join,txn_5m.csv,4,2g,2,8,0.8,10.981,2026-03-14 16:41:52
join,txn_5m.csv,4,2g,2,32,0.6,10.3,2026-03-14 16:42:18
join,txn_5m.csv,4,2g,2,32,0.8,10.328,2026-03-14 16:42:43
join,txn_5m.csv,4,2g,4,8,0.6,10.227,2026-03-14 16:43:09
join,txn_5m.csv,4,2g,4,8,0.8,10.238,2026-03-14 16:43:34
join,txn_5m.csv,4,2g,4,32,0.6,10.6,2026-03-14 16:44:00
join,txn_5m.csv,4,2g,4,32,0.8,10.596,2026-03-14 16:44:26
join,txn_5m.csv,4,3g,2,8,0.6,10.716,2026-03-14 16:44:52
join,txn_5m.csv,4,3g,2,8,0.8,10.219,2026-03-14 16:45:17
join,txn_5m.csv,4,3g,2,32,0.6,10.344,2026-03-14 16:45:42
join,txn_5m.csv,4,3g,2,32,0.8,10.54,2026-03-14 16:46:07
join,txn_5m.csv,4,3g,4,8,0.6,11.053,2026-03-14 16:46:33
join,txn_5m.csv,4,3g,4,8,0.8,10.466,2026-03-14 16:46:59
join,txn_5m.csv,4,3g,4,32,0.6,10.854,2026-03-14 16:47:25
join,txn_5m.csv,4,3g,4,32,0.8,10.601,2026-03-14 16:47:51
join,txn_5m.csv,8,2g,2,8,0.6,10.161,2026-03-14 16:48:16
join,txn_5m.csv,8,2g,2,8,0.8,11.991,2026-03-14 16:48:43
join,txn_5m.csv,8,2g,2,32,0.6,9.924,2026-03-14 16:49:09
join,txn_5m.csv,8,2g,2,32,0.8,10.173,2026-03-14 16:49:34
join,txn_5m.csv,8,2g,4,8,0.6,9.848,2026-03-14 16:49:59
join,txn_5m.csv,8,2g,4,8,0.8,9.59,2026-03-14 16:50:24
join,txn_5m.csv,8,2g,4,32,0.6,9.635,2026-03-14 16:50:49
join,txn_5m.csv,8,2g,4,32,0.8,9.582,2026-03-14 16:51:14
join,txn_5m.csv,8,3g,2,8,0.6,10.018,2026-03-14 16:51:40
join,txn_5m.csv,8,3g,2,8,0.8,9.159,2026-03-14 16:52:04
join,txn_5m.csv,8,3g,2,32,0.6,10.186,2026-03-14 16:52:30
join,txn_5m.csv,8,3g,2,32,0.8,9.866,2026-03-14 16:52:55
join,txn_5m.csv,8,3g,4,8,0.6,10.058,2026-03-14 16:53:19
join,txn_5m.csv,8,3g,4,8,0.8,10.234,2026-03-14 16:53:45
join,txn_5m.csv,8,3g,4,32,0.6,10.061,2026-03-14 16:54:11
join,txn_5m.csv,8,3g,4,32,0.8,10.622,2026-03-14 16:54:37
join,txn_5m.csv,16,2g,2,8,0.6,10.58,2026-03-14 16:55:04
join,txn_5m.csv,16,2g,2,8,0.8,10.358,2026-03-14 16:55:29
join,txn_5m.csv,16,2g,2,32,0.6,10.521,2026-03-14 16:55:55
join,txn_5m.csv,16,2g,2,32,0.8,10.358,2026-03-14 16:56:21
join,txn_5m.csv,16,2g,4,8,0.6,10.426,2026-03-14 16:56:46
join,txn_5m.csv,16,2g,4,8,0.8,10.132,2026-03-14 16:57:12
join,txn_5m.csv,16,2g,4,32,0.6,10.987,2026-03-14 16:57:38
join,txn_5m.csv,16,2g,4,32,0.8,10.214,2026-03-14 16:58:04
join,txn_5m.csv,16,3g,2,8,0.6,10.478,2026-03-14 16:58:29
join,txn_5m.csv,16,3g,2,8,0.8,10.733,2026-03-14 16:58:55
join,txn_5m.csv,16,3g,2,32,0.6,10.347,2026-03-14 16:59:20
join,txn_5m.csv,16,3g,2,32,0.8,9.854,2026-03-14 16:59:46
join,txn_5m.csv,16,3g,4,8,0.6,10.528,2026-03-14 17:00:11
join,txn_5m.csv,16,3g,4,8,0.8,10.427,2026-03-14 17:00:36
join,txn_5m.csv,16,3g,4,32,0.6,10.39,2026-03-14 17:01:02
join,txn_5m.csv,16,3g,4,32,0.8,9.996,2026-03-14 17:01:27
join,txn_5m.csv,32,2g,2,8,0.6,9.653,2026-03-14 17:01:52
join,txn_5m.csv,32,2g,2,8,0.8,10.78,2026-03-14 17:02:18
join,txn_5m.csv,32,2g,2,32,0.6,10.613,2026-03-14 17:02:44
join,txn_5m.csv,32,2g,2,32,0.8,10.49,2026-03-14 17:03:10
join,txn_5m.csv,32,2g,4,8,0.6,10.299,2026-03-14 17:03:36
join,txn_5m.csv,32,2g,4,8,0.8,10.531,2026-03-14 17:04:01
join,txn_5m.csv,32,2g,4,32,0.6,10.485,2026-03-14 17:04:27
join,txn_5m.csv,32,2g,4,32,0.8,10.125,2026-03-14 17:04:52
join,txn_5m.csv,32,3g,2,8,0.6,10.469,2026-03-14 17:05:18
join,txn_5m.csv,32,3g,2,8,0.8,10.026,2026-03-14 17:05:43
join,txn_5m.csv,32,3g,2,32,0.6,10.176,2026-03-14 17:06:09
join,txn_5m.csv,32,3g,2,32,0.8,13.388,2026-03-14 17:06:39
join,txn_5m.csv,32,3g,4,8,0.6,10.514,2026-03-14 17:07:08
join,txn_5m.csv,32,3g,4,8,0.8,10.413,2026-03-14 17:07:36
join,txn_5m.csv,32,3g,4,32,0.6,9.954,2026-03-14 17:08:03
join,txn_5m.csv,32,3g,4,32,0.8,9.8,2026-03-14 17:08:30
join,txn_5m.csv,64,2g,2,8,0.6,10.938,2026-03-14 17:08:59
join,txn_5m.csv,64,2g,2,8,0.8,47.072,2026-03-14 17:10:19
join,txn_5m.csv,64,2g,2,32,0.6,59.191,2026-03-14 17:12:04
join,txn_5m.csv,64,2g,2,32,0.8,53.736,2026-03-14 17:13:48
join,txn_5m.csv,64,2g,4,8,0.6,8.114,2026-03-14 17:14:11
join,txn_5m.csv,64,2g,4,8,0.8,10.36,2026-03-14 17:14:36
join,txn_5m.csv,64,2g,4,32,0.6,11.2,2026-03-14 17:15:03
join,txn_5m.csv,64,2g,4,32,0.8,11.233,2026-03-14 17:15:29
join,txn_5m.csv,64,3g,2,8,0.6,10.798,2026-03-14 17:15:55
join,txn_5m.csv,64,3g,2,8,0.8,10.125,2026-03-14 17:16:21
join,txn_5m.csv,64,3g,2,32,0.6,12.108,2026-03-14 17:16:48
join,txn_5m.csv,64,3g,2,32,0.8,11.347,2026-03-14 17:17:14
join,txn_5m.csv,64,3g,4,8,0.6,10.374,2026-03-14 17:17:39
join,txn_5m.csv,64,3g,4,8,0.8,9.964,2026-03-14 17:18:05
join,txn_5m.csv,64,3g,4,32,0.6,44.017,2026-03-14 17:19:08
join,txn_5m.csv,64,3g,4,32,0.8,56.618,2026-03-14 17:20:54
join,txn_10m.csv,4,2g,2,8,0.6,79.98,2026-03-14 17:23:06
join,txn_10m.csv,4,2g,2,8,0.8,75.014,2026-03-14 17:25:19
join,txn_10m.csv,4,2g,2,32,0.6,73.07,2026-03-14 17:27:36
join,txn_10m.csv,4,2g,2,32,0.8,72.62,2026-03-14 17:31:06
join,txn_10m.csv,4,2g,4,8,0.6,78.438,2026-03-14 17:33:14
join,txn_10m.csv,4,2g,4,8,0.8,77.74,2026-03-14 17:35:21
join,txn_10m.csv,4,2g,4,32,0.6,66.699,2026-03-14 17:37:14
join,txn_10m.csv,4,2g,4,32,0.8,17.536,2026-03-14 17:37:51
join,txn_10m.csv,4,3g,2,8,0.6,20.659,2026-03-14 17:38:35
join,txn_10m.csv,4,3g,2,8,0.8,20.536,2026-03-14 17:39:19
join,txn_10m.csv,4,3g,2,32,0.6,19.325,2026-03-14 17:40:02
join,txn_10m.csv,4,3g,2,32,0.8,20.03,2026-03-14 17:40:47
join,txn_10m.csv,4,3g,4,8,0.6,73.782,2026-03-14 17:42:55
join,txn_10m.csv,4,3g,4,8,0.8,20.137,2026-03-14 17:44:06
join,txn_10m.csv,4,3g,4,32,0.6,18.96,2026-03-14 17:44:45
join,txn_10m.csv,4,3g,4,32,0.8,17.287,2026-03-14 17:45:25
join,txn_10m.csv,8,2g,2,8,0.6,16.864,2026-03-14 17:46:01
join,txn_10m.csv,8,2g,2,8,0.8,16.216,2026-03-14 17:46:37
join,txn_10m.csv,8,2g,2,32,0.6,16.058,2026-03-14 17:47:14
join,txn_10m.csv,8,2g,2,32,0.8,15.886,2026-03-14 17:47:50
join,txn_10m.csv,8,2g,4,8,0.6,16.375,2026-03-14 17:48:27
join,txn_10m.csv,8,2g,4,8,0.8,16.564,2026-03-14 17:49:05
join,txn_10m.csv,8,2g,4,32,0.6,15.182,2026-03-14 17:49:42
join,txn_10m.csv,8,2g,4,32,0.8,14.644,2026-03-14 17:50:16
join,txn_10m.csv,8,3g,2,8,0.6,15.79,2026-03-14 17:50:53
join,txn_10m.csv,8,3g,2,8,0.8,16.482,2026-03-14 17:51:31
join,txn_10m.csv,8,3g,2,32,0.6,15.729,2026-03-14 17:52:07
join,txn_10m.csv,8,3g,2,32,0.8,17.379,2026-03-14 17:52:47
join,txn_10m.csv,8,3g,4,8,0.6,16.946,2026-03-14 17:53:26
join,txn_10m.csv,8,3g,4,8,0.8,15.538,2026-03-14 17:54:03
join,txn_10m.csv,8,3g,4,32,0.6,15.567,2026-03-14 17:54:41
join,txn_10m.csv,8,3g,4,32,0.8,16.904,2026-03-14 17:55:18
join,txn_10m.csv,16,2g,2,8,0.6,16.409,2026-03-14 17:55:55
join,txn_10m.csv,16,2g,2,8,0.8,18.038,2026-03-14 17:56:33
join,txn_10m.csv,16,2g,2,32,0.6,15.64,2026-03-14 17:57:11
join,txn_10m.csv,16,2g,2,32,0.8,15.017,2026-03-14 17:57:44
join,txn_10m.csv,16,2g,4,8,0.6,16.58,2026-03-14 17:58:20
join,txn_10m.csv,16,2g,4,8,0.8,15.911,2026-03-14 17:58:54
join,txn_10m.csv,16,2g,4,32,0.6,14.514,2026-03-14 17:59:28
join,txn_10m.csv,16,2g,4,32,0.8,16.79,2026-03-14 18:00:03
join,txn_10m.csv,16,3g,2,8,0.6,17.013,2026-03-14 18:00:38
join,txn_10m.csv,16,3g,2,8,0.8,17.416,2026-03-14 18:01:16
join,txn_10m.csv,16,3g,2,32,0.6,14.59,2026-03-14 18:01:50
join,txn_10m.csv,16,3g,2,32,0.8,15.598,2026-03-14 18:02:25
join,txn_10m.csv,16,3g,4,8,0.6,17.863,2026-03-14 18:03:01
